ID,Task,Risorse,Data,Ore Effettive,Descrizione
2450,255 | Installazione Strumentazione e Cablaggi | G.Dh-2024-02,Michael Evans,8/8/2024,"18,0","Commissioning sistema di controllo, debug software."
2451,256 | Controlli Qualità e Collaudi Interni | G.Dh-2024-02,Silvia Romano,23/9/2024,"8,0",Controlli dimensionali e verifica conformità.
2452,256 | Controlli Qualità e Collaudi Interni | G.Dh-2024-02,Silvia Romano,30/9/2024,"12,0","Test idraulico vessel e piping, tutto conforme."
2453,256 | Controlli Qualità e Collaudi Interni | G.Dh-2024-02,Silvia Romano,8/10/2024,"14,0","Collaudo funzionale completo, piccole regolazioni."
2454,257 | Preparazione Spedizione e Documentazione | G.Dh-2024-02,Julia Müller,25/11/2024,"6,0",Preparazione imballi e protezioni per trasporto.
2455,257 | Preparazione Spedizione e Documentazione | G.Dh-2024-02,Julia Müller,2/12/2024,"5,0",Compilazione documentazione tecnica e certificati.
2456,257 | Preparazione Spedizione e Documentazione | G.Dh-2024-02,Julia Müller,10/12/2024,"5,0",Organizzazione trasporto e consegna finale.
2458,260 | Progettazione Dettagliata Pressure Vessel | PV-2024-03,James Wilson,7/3/2024,"10,0",Analisi specifiche cliente e avvio modellazione 3D.
2459,260 | Progettazione Dettagliata Pressure Vessel | PV-2024-03,James Wilson,15/3/2024,"14,0","Sviluppo disegni esecutivi, revisione tecnica interna."
2460,260 | Progettazione Dettagliata Pressure Vessel | PV-2024-03,James Wilson,22/3/2024,"14,0",Finalizzazione documentazione e consegna.
2461,261 | Ordine Materiali e Componenti Critici | PV-2024-03,Emma Thompson,29/3/2024,"8,0",Richiesta offerte e confronto fornitori.
2462,261 | Ordine Materiali e Componenti Critici | PV-2024-03,Emma Thompson,10/4/2024,"12,0","Emissione ordini, piccolo ritardo per verifica certificazioni."
2463,262 | Taglio Lamiere e Calandratura | PV-2024-03,Marco Conti,22/4/2024,"10,0","Taglio lamiere secondo disegno, nessun intoppo."
2464,262 | Taglio Lamiere e Calandratura | PV-2024-03,Marco Conti,2/5/2024,"9,0","Calandratura guscio, avanzamento regolare."
2465,262 | Taglio Lamiere e Calandratura | PV-2024-03,Marco Conti,8/5/2024,"8,0","Assemblaggio fondi, attività chiusa in anticipo."
2466,263 | Saldatura Guscio e Fondi | PV-2024-03,Marco Conti,15/5/2024,"12,0","Saldatura longitudinale guscio, avanzamento regolare."
2467,263 | Saldatura Guscio e Fondi | PV-2024-03,Marco Conti,28/5/2024,"14,0","Saldatura circonferenziale fondi, piccolo ritardo per verifica disegni."
2468,263 | Saldatura Guscio e Fondi | PV-2024-03,Marco Conti,10/6/2024,"15,0","Ripresa saldature, attività completata con collaudo positivo."
2469,264 | Controlli NDT su Saldature | PV-2024-03,Giulia Ferri,7/7/2024,"7,0","Controllo radiografico, tutto conforme."
2470,264 | Controlli NDT su Saldature | PV-2024-03,Giulia Ferri,15/7/2024,"8,0","Controllo liquidi penetranti, nessuna difettosità."
2471,264 | Controlli NDT su Saldature | PV-2024-03,Giulia Ferri,20/7/2024,"5,0",Compilazione report e chiusura attività.
2472,265 | Trattamento Termico Post-Saldatura | PV-2024-03,Sara Lombardi,24/7/2024,"8,0","Caricamento pezzo in forno, avvio ciclo termico."
2473,265 | Trattamento Termico Post-Saldatura | PV-2024-03,Sara Lombardi,2/8/2024,"7,0","Monitoraggio ciclo e scarico pezzo, attività completata in linea."
2474,266 | Collaudo Funzionale e Test Idraulico | PV-2024-03,Pierre Dubois,18/9/2024,"10,0","Test idraulico vessel, tutto conforme."
2475,266 | Collaudo Funzionale e Test Idraulico | PV-2024-03,Pierre Dubois,2/10/2024,"16,0","Collaudo funzionale, piccolo ritardo per taratura strumenti."
2476,267 | Preparazione Spedizione e Documentazione | PV-2024-03,Sophie Martin,16/1/2025,"5,0",Preparazione imballi e protezioni per trasporto.
2477,267 | Preparazione Spedizione e Documentazione | PV-2024-03,Sophie Martin,19/1/2025,"4,0",Compilazione documentazione tecnica e organizzazione trasporto.
